rv0377	29.60	174	193	0.7844
rv0378	90.41	8	73	0.9412
rv0379	19.72	63	71	0.8254
rv0380c	20.22	65	80	0.8241
rv0381c	32.78	230	253	0.8544
rv0382c	43.02	102	135	0.6653
rv0383c	42.61	201	250	0.9007
rv0384c	60.14	463	539	0.7842
rv0385	14.62	368	390	0.7788
rv0386	16.50	898	920	0.7729
rv0387c	88.52	127	244	0.9276
rv0388c	59.44	67	114	0.7839
rv0389	42.24	174	222	0.7825
rv0390	17.14	95	111	0.6731
rv0391	22.17	1	35	0.7599
rv0392c	31.91	437	470	0.7885
rv0393	36.73	364	405	0.736
rv0394c	59.00	39	112	0.7367
rv0395	15.67	120	127	0.5941
rv0396	42.31	80	130	0.8112
rv0397	48.36	49	82	0.8382
rv0397a	31.71	16	34	0.6951
rv0398c	27.23	18	50	0.903
rv0399c	30.32	214	242	0.6914
rv0400c	20.76	1	18	0.8505
rv0401	18.70	1	8	0.7739
rv0402c	21.50	131	183	0.8409
rv0403c	6.34	70	75	0.5921
rv0404	24.10	337	363	0.645
rv0405	30.31	362	409	0.7107
rv0406c	25.74	154	174	0.7818
rv0407	29.76	205	227	0.6751
rv0408	29.13	563	617	0.7658
rv0409	24.68	197	226	0.805
rv0411c	35.06	31	74	0.8362
rv0412c	37.36	149	186	0.8315
rv0413	45.16	70	103	0.7926
rv0414c	11.26	150	160	0.7454
rv0415	25.88	205	241	0.8377
rv0416	32.35	49	61	0.5961
rv0417	30.95	209	228	0.8257
rv0418	31.00	121	161	0.8147
rv0419	30.12	299	322	0.7632
rv0420c	17.65	1	17	0.7897
rv0421c	50.24	49	79	0.8831
rv0422c	25.66	1	23	0.7491
rv0423c	23.95	504	537	0.7415
rv0424c	41.76	1	23	0.8268
rv0425c	47.69	742	827	0.7198
rv0426c	76.87	12	66	0.9175
rv0427c	25.77	1	44	0.789
rv0428c	13.58	11	32	0.7759
rv0429c	39.59	82	110	0.8618
rv0430	39.22	71	98	0.8898
rv0431	56.10	46	89	0.8782
rv0433	15.69	35	74	0.6902
rv0434	29.49	1	26	0.7097
rv0435c	35.71	169	216	0.862
rv0436c	25.17	246	286	0.9393
rv0437c	32.03	74	103	0.7442
rv0438c	47.41	89	139	0.7754
rv0439c	28.30	203	227	0.6755
rv0440	44.81	325	369	0.6623
rv0441c	17.61	38	50	0.6238
rv0442c	53.39	335	487	0.8997
rv0443	9.36	1	11	0.7777
rv0444c	59.91	157	200	0.8169
rv0445c	20.86	164	183	0.7681
rv0446c	10.55	245	256	0.8719
rv0447c	17.33	1	37	0.726
rv0448c	19.46	180	198	0.7747
rv0449c	24.60	279	307	0.7028
rv0451c	3.57	120	122	0.5108
rv0452	32.63	19	46	0.654
rv0453	50.58	299	385	0.9542
rv0454	39.66	43	58	0.8273
rv0455c	2.70	1	2	0.7799
rv0456c	29.28	18	49	0.8126
rv0457c	21.84	192	218	0.761
rv0458	16.17	329	348	0.7017
rv0459	19.63	120	136	0.6769
rv0460	1.27	79	79	0.7266
